customer_id,avg_distance_to_shops,min_distance_to_shops,max_distance_to_shops,products_purchased,unique_products_purchased,amount_purchased,avg_purchase,avg_price,shops_used,distance_shop_1,distance_shop_2,distance_shop_3,distance_shop_4,distance_shop_5,products_purchased_shop_1,products_purchased_shop_2,products_purchased_shop_3,products_purchased_shop_4,products_purchased_shop_5,unique_products_purchased_shop_1,unique_products_purchased_shop_2,unique_products_purchased_shop_3,unique_products_purchased_shop_4,unique_products_purchased_shop_5,amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,avg_purchase_shop_1,avg_purchase_shop_2,avg_purchase_shop_3,avg_purchase_shop_4,avg_purchase_shop_5,avg_price_shop_1,avg_price_shop_2,avg_price_shop_3,avg_price_shop_4,avg_price_shop_5
36522,700.8745,636.6439,1420.2577,405.0,178.0,838.73,4.583224,2.3272295,2.0,1420.2577,2218.5999,636.6439,2096.5234,526.8015,17,0,388,0,0,15,0,168,0,0,56.939,0.0,781.791,0.0,0.0,3.7959332,0.0,4.6535177,0.0,0.0,3.6556,0.0,2.208625,0.0,0.0
26228,3803.756,2079.2263,3982.4272,355.0,179.0,853.33704,4.4444637,2.3413334,3.0,3640.8826,1889.1337,2079.2263,3982.4272,2747.0056,40,0,13,302,0,28,0,13,151,0,162.95801,0.0,23.592,666.787,0.0,5.8199286,0.0,1.8147693,4.415808,0.0,3.7637143,0.0,1.8147693,2.1229138,0.0
31753,2126.3494,1747.1343,2610.6814,550.0,238.0,1207.071,4.25025,2.264,3.0,2565.5535,2610.6814,1629.6172,2510.354,1747.1343,94,53,0,0,403,82,47,0,0,155,218.38,95.216,0.0,0.0,893.47504,2.6631708,2.0258722,0.0,0.0,5.7643547,2.3572073,1.965468,0.0,0.0,2.305213
4649,1032.7633,465.22162,2228.9292,782.0,346.0,3745.132,8.531053,6.2335696,5.0,1342.1525,2091.4014,465.22162,2228.9292,480.5699,384,28,324,3,43,233,24,146,3,33,2953.393,71.572,620.634,6.5,93.033,12.675507,2.9821668,4.250918,2.1666667,2.819182,9.831824,2.4710834,2.112041,2.1666667,2.1684241
27672,2353.4602,1871.0348,3800.7363,269.0,150.0,759.023,4.4129243,3.1504302,2.0,3800.7363,1871.0348,2783.3643,5254.7085,3468.414,49,220,0,0,0,43,129,0,0,0,160.002,599.021,0.0,0.0,0.0,3.7209768,4.6435738,0.0,0.0,0.0,3.2446744,3.1190155,0.0,0.0,0.0
15396,5119.0073,3440.8545,6103.44,1643.0,462.0,3943.627,6.443835,2.677732,3.0,6103.44,3440.8545,4863.898,7487.546,5671.0303,1132,495,0,0,16,374,224,0,0,14,2830.243,1082.663,0.0,0.0,30.721,7.567495,4.833317,0.0,0.0,2.1943572,2.8115346,2.4995446,0.0,0.0,1.9542857
47550,2419.903,2419.903,2419.903,45.0,38.0,216.145,5.6880264,3.6801841,1.0,2419.903,1740.8965,1694.4559,3911.2717,2178.797,45,0,0,0,0,38,0,0,0,0,216.145,0.0,0.0,0.0,0.0,5.6880264,0.0,0.0,0.0,0.0,3.6801841,0.0,0.0,0.0,0.0
23858,1934.6251,1926.5449,3841.553,555.0,237.0,2113.217,8.916528,5.5349536,2.0,1926.5449,3841.553,2326.8088,949.4777,1665.249,553,2,0,0,0,236,1,0,0,0,2107.065,6.152,0.0,0.0,0.0,8.928242,6.152,0.0,0.0,0.0,5.545373,3.076,0.0,0.0,0.0
40810,1630.5792,1630.5792,1630.5792,66.0,46.0,220.065,4.784022,3.147587,1.0,1630.5792,1938.9603,1131.4037,3102.6108,1394.9685,66,0,0,0,0,46,0,0,0,0,220.065,0.0,0.0,0.0,0.0,4.784022,0.0,0.0,0.0,0.0,3.147587,0.0,0.0,0.0,0.0
11866,2096.8794,882.11255,2554.6877,36.0,32.0,115.997,3.6249063,3.5461874,3.0,2073.0808,5095.644,3468.3618,882.11255,2554.6877,24,0,0,3,9,20,0,0,3,9,87.286,0.0,0.0,8.137,20.574,4.3643,0.0,0.0,2.7123334,2.286,4.23835,0.0,0.0,2.7123334,2.286
